title,originallink,link,description,pubDate
"올겨울 고글룩, 크고 대담할수록 좋다",https://www.hankyung.com/article/2026012272691,https://n.news.naver.com/mnews/article/015/0005240975?sid=103,"지난 여름 시즌부터 로에베, 마르니, 디올, 미우미우, 프라다가 <b>오버사이즈 선글라스</b> 아이템을 패션쇼 무대에 올렸다. 겨울이 다가오면서 고글형 선글라스는 럭셔리업계를 온전히 장악했다. 올해 컬렉션에서 발렌시아가는... ","Thu, 22 Jan 2026 17:52:00 +0900"
더 크게! 더 과감하게! 유럽 언니들이 선택한 <b>선글라스</b> 트렌드 5,https://www.allurekorea.com/2026/01/16/%eb%8d%94-%ed%81%ac%ea%b2%8c-%eb%8d%94-%ea%b3%bc%ea%b0%90%ed%95%98%ea%b2%8c-%ec%9c%a0%eb%9f%bd-%ec%96%b8%eb%8b%88%eb%93%a4%ec%9d%b4-%ec%84%a0%ed%83%9d%ed%95%9c-%ec%84%a0%ea%b8%80%eb%9d%bc%ec%8a%a4/?utm_source=naver&utm_medium=partnership,https://www.allurekorea.com/2026/01/16/%eb%8d%94-%ed%81%ac%ea%b2%8c-%eb%8d%94-%ea%b3%bc%ea%b0%90%ed%95%98%ea%b2%8c-%ec%9c%a0%eb%9f%bd-%ec%96%b8%eb%8b%88%eb%93%a4%ec%9d%b4-%ec%84%a0%ed%83%9d%ed%95%9c-%ec%84%a0%ea%b8%80%eb%9d%bc%ec%8a%a4/?utm_source=naver&utm_medium=partnership,클수록 쿨한 오버사이즈 프레임 @daisypyo 스키여행을 떠난 킴 카다시안의 룩에서 눈길을 사로잡은 것은 얼굴의 반 이상을 가리는 <b>오버사이즈 선글라스</b>. <b>오버사이즈 선글라스</b>의 장점은 퍼 재킷처럼 부피감이 큰 아이템과... ,"Fri, 16 Jan 2026 18:46:00 +0900"
<b>오버사이즈</b> 스웨터 동네 마실룩처럼 안 보이게 입는 법,https://www.elle.co.kr/article/1895371,https://www.elle.co.kr/article/1895371,"다리를 길어 보이게 하는 힐을 더하면 전체 실루엣이 살아나고, <b>선글라스</b> 하나만으로도 스타일의 완성도가 확연히 달라지죠. 「 보일 듯 말 듯, 비율의 중요성 」 <b>오버사이즈</b> 스타일링에서 가장 경계해야 할 것은 비율을... ","Thu, 15 Jan 2026 18:06:00 +0900"
제니의 원픽? <b>오버사이즈</b> 헤링본 코트,https://www.wkorea.com/2026/01/14/%ec%a0%9c%eb%8b%88%ec%9d%98-%ec%9b%90%ed%94%bd-%ec%98%a4%eb%b2%84%ec%82%ac%ec%9d%b4%ec%a6%88-%ed%97%a4%eb%a7%81%eb%b3%b8-%ec%bd%94%ed%8a%b8/?utm_source=naver&utm_medium=partnership,https://www.wkorea.com/2026/01/14/%ec%a0%9c%eb%8b%88%ec%9d%98-%ec%9b%90%ed%94%bd-%ec%98%a4%eb%b2%84%ec%82%ac%ec%9d%b4%ec%a6%88-%ed%97%a4%eb%a7%81%eb%b3%b8-%ec%bd%94%ed%8a%b8/?utm_source=naver&utm_medium=partnership,"다만 기존에 비해 더욱 <b>오버</b> 핏이 되었고, 맥시한 기장이 되어 나타났어요. 포멀하게도, 캐주얼하게도 입을... 시크한 무드를 위해 스퀘어 모양의 <b>선글라스</b>를 더해도 좋고요. @nayoungkeem 솔리드 컬러가 아닌 패턴이 들어간... ","Wed, 14 Jan 2026 12:16:00 +0900"
"[김의향의 스타일 아이콘 &lt;20&gt;] 발렌티노 가라바니, 세대를 넘어 뮤즈와...",https://economychosun.com/site/data/html_dir/2026/02/06/2026020600040.html,https://economychosun.com/site/data/html_dir/2026/02/06/2026020600040.html,"특히 그녀가 즐겨 썼던 <b>오버사이즈 선글라스</b>와 발렌티노의 정교한 코트의 조합은 1970년대 ‘제트 셋(Jet-set) 스타일’의 바이블이 되었다.재클린이 발렌티노 제국을 전 세계에 알린 뮤즈였다면, 다이애나 왕세자빈은... ","Fri, 13 Feb 2026 13:30:00 +0900"
태양을 피하고 싶어서 고른 <b>선글라스</b> 타잔처럼 써봐요,https://www.gqkorea.co.kr/2025/07/30/%ed%83%9c%ec%96%91%ec%9d%84-%ed%94%bc%ed%95%98%ea%b3%a0-%ec%8b%b6%ec%96%b4%ec%84%9c-%ea%b3%a0%eb%a5%b8-%ec%84%a0%ea%b8%80%eb%9d%bc%ec%8a%a4-%ed%83%80%ec%9e%94%ec%b2%98%eb%9f%bc-%ec%8d%a8%eb%b4%90/?utm_source=naver&utm_medium=partnership,https://www.gqkorea.co.kr/2025/07/30/%ed%83%9c%ec%96%91%ec%9d%84-%ed%94%bc%ed%95%98%ea%b3%a0-%ec%8b%b6%ec%96%b4%ec%84%9c-%ea%b3%a0%eb%a5%b8-%ec%84%a0%ea%b8%80%eb%9d%bc%ec%8a%a4-%ed%83%80%ec%9e%94%ec%b2%98%eb%9f%bc-%ec%8d%a8%eb%b4%90/?utm_source=naver&utm_medium=partnership,런웨이에선 이미 용접이나 의료 등 특수한 상황에 쓰일 법한 <b>오버사이즈 선글라스</b>가 선보여졌다. 빈티지한 룩에 광택감 있는 미러 선글라스를 더하거나 구조적인 룩에 스포티한 고글을 더하는 식. 디자이너들은 이처럼... ,"Wed, 30 Jul 2025 13:55:00 +0900"
2025년 여름 패션 스트리트를 누빌 <b>선글라스</b>는?,https://www.chosun.com/special/boutique/boutique-fashion/2025/05/31/W36WE7S4ZNH6TA4F2Y55GMD3K4/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,https://n.news.naver.com/mnews/article/023/0003908511?sid=103,"샤론 테이트가 즐겨 착용한 <b>선글라스</b>는 <b>오버사이즈</b> 디자인이 특징이었다. 얼굴을 압도하는 거대한 프레임은 그녀의 작고 섬세한 이목구비와 대비되어 더욱 시크한 인상을 남겼고, 강렬한 존재감을 발산했다. 특히... ","Sat, 31 May 2025 15:40:00 +0900"
올겨울엔 얼굴을 반쯤 가리는 큼지막한 <b>선글라스</b>가 필수,https://www.wkorea.com/2025/12/01/%ec%96%bc%ea%b5%b4-%eb%b0%98%ec%aa%bd-%eb%a7%8c%eb%93%a4%ec%96%b4%ec%a3%bc%eb%8a%94-%ec%8b%9c%ec%84%a0%ea%b0%95%ed%83%88-%eb%b2%84%ea%b7%b8%ec%95%84%ec%9d%b4-%ec%84%a0%ea%b8%80/?utm_source=naver&utm_medium=partnership,https://www.wkorea.com/2025/12/01/%ec%96%bc%ea%b5%b4-%eb%b0%98%ec%aa%bd-%eb%a7%8c%eb%93%a4%ec%96%b4%ec%a3%bc%eb%8a%94-%ec%8b%9c%ec%84%a0%ea%b0%95%ed%83%88-%eb%b2%84%ea%b7%b8%ec%95%84%ec%9d%b4-%ec%84%a0%ea%b8%80/?utm_source=naver&utm_medium=partnership,고글처럼 얼굴을 입체적으로 감싸는 <b>오버사이즈</b> 프레임의 <b>선글라스</b> 역시 발렌시아가의 제품으로 미래적이고 초현실적인 이미지와 화려한 존재감을 더했죠. Strada 2025 F/W Collection Dolce &amp; Gabbana 2025 F/W Collection 버그... ,"Mon, 01 Dec 2025 13:32:00 +0900"
올겨울엔 얼굴이 작아보이는 <b>선글라스</b>를 쓰세요,https://www.wkorea.com/2025/11/03/%ec%96%bc%ea%b5%b4%ec%9d%b4-%ec%9e%91%ec%95%84%eb%b3%b4%ec%9d%b4%eb%8a%94-%ec%84%a0%ea%b8%80%eb%9d%bc%ec%8a%a4%ea%b0%80-%ed%8a%b8%eb%a0%8c%eb%93%9c/?utm_source=naver&utm_medium=partnership,https://www.wkorea.com/2025/11/03/%ec%96%bc%ea%b5%b4%ec%9d%b4-%ec%9e%91%ec%95%84%eb%b3%b4%ec%9d%b4%eb%8a%94-%ec%84%a0%ea%b8%80%eb%9d%bc%ec%8a%a4%ea%b0%80-%ed%8a%b8%eb%a0%8c%eb%93%9c/?utm_source=naver&utm_medium=partnership,오랜만에 돌아온 <b>오버사이즈 선글라스</b> 근 몇 년간 납작한 선글라스가 리얼웨이를 지배했습니다. '납작할수록 쿨하다'는 일념 하에 브랜드들은 가로로 긴 선글라스를 앞다퉈 출시했죠. 특히 레트로한 무드의 오벌형... ,"Mon, 03 Nov 2025 11:22:00 +0900"
핀터 속 외국 언니들의 원픽이된 의외의 아이템,https://www.allurekorea.com/2026/02/09/%ed%95%80%ed%84%b0-%ec%86%8d-%ec%99%b8%ea%b5%ad-%ec%96%b8%eb%8b%88%eb%93%a4%ec%9d%98-%ec%9b%90%ed%94%bd%ec%9d%b4%eb%90%9c-%ec%9d%98%ec%99%b8%ec%9d%98-%ec%95%84%ec%9d%b4%ed%85%9c/?utm_source=naver&utm_medium=partnership,https://www.allurekorea.com/2026/02/09/%ed%95%80%ed%84%b0-%ec%86%8d-%ec%99%b8%ea%b5%ad-%ec%96%b8%eb%8b%88%eb%93%a4%ec%9d%98-%ec%9b%90%ed%94%bd%ec%9d%b4%eb%90%9c-%ec%9d%98%ec%99%b8%ec%9d%98-%ec%95%84%ec%9d%b4%ed%85%9c/?utm_source=naver&utm_medium=partnership,"@emilianavalenciam 과감한 스타일링을 즐긴다면 얼굴의 반 이상을 덮는 <b>오버사이즈</b> 틴티드 <b>선글라스</b>도 좋은선택지입니다. 스키 고글을 연상시키는 대담한 <b>사이즈</b>에 레드나 브라운처럼 채도 있는 렌즈가 더해져, 밋밋한... ","Tue, 10 Feb 2026 19:08:00 +0900"
