title,originallink,link,description,pubDate
"지드래곤식 꾸안꾸, 툭 걸쳤는데 힙해‥레드 재킷+<b>틴트 선글라스</b>룩",https://www.newsen.com/news_view.php?uid=202508120948425710,https://m.entertain.naver.com/article/609/0001021268,"이날 지드래곤은 네이비 색 볼캡에 오렌지 <b>틴트 선글라스</b>, 블랙 마스크로 얼굴을 전부 가린 채 모습을 드러냈다. 지드래곤은 레드 컬러 명품 M사 재킷을 입고 시선을 사로잡았다. 또 실버 목걸이와... ","Tue, 12 Aug 2025 09:50:00 +0900"
"&quot;느와르 영화 주인공처럼…&quot; 정혜인의 <b>틴트 선글라스</b>, 찢청 그리고 자토...",https://www.mydaily.co.kr/page/view/2025080310401102596,https://m.entertain.naver.com/article/117/0003973088,"사진 속 정혜인은 자유분방함이 느껴지는 짧은 커트 머리에 노란 <b>틴트 선글라스</b>를 착용해 시크한 분위기를 더했다. 연청 컬러의 와이드한 디스트로이드 진을 입고, 상의로는 회색 민소매 티셔츠 위에 연회색 조끼를 걸쳐... ","Wed, 06 Aug 2025 02:00:00 +0900"
"무심하게 툭! 일단 걸치면 멋이 난다, 유행하는 <b>선글라스</b> 4",https://www.gqkorea.co.kr/2025/08/20/%eb%ac%b4%ec%8b%ac%ed%95%98%ea%b2%8c-%ed%88%ad-%ec%9d%bc%eb%8b%a8-%ea%b1%b8%ec%b9%98%eb%a9%b4-%eb%a9%8b%ec%9d%b4-%eb%82%9c%eb%8b%a4-%ec%9c%a0%ed%96%89%ed%95%98%eb%8a%94-%ec%84%a0%ea%b8%80%eb%9d%bc/?utm_source=naver&utm_medium=partnership,https://www.gqkorea.co.kr/2025/08/20/%eb%ac%b4%ec%8b%ac%ed%95%98%ea%b2%8c-%ed%88%ad-%ec%9d%bc%eb%8b%a8-%ea%b1%b8%ec%b9%98%eb%a9%b4-%eb%a9%8b%ec%9d%b4-%eb%82%9c%eb%8b%a4-%ec%9c%a0%ed%96%89%ed%95%98%eb%8a%94-%ec%84%a0%ea%b8%80%eb%9d%bc/?utm_source=naver&utm_medium=partnership,"핑크 <b>틴트</b>가 들어간 <b>선글라스</b>는 그의 경쾌한 이미지와 딱 맞아떨어지고, 블랙 렌즈 버전은 보다 시크한 무드를 만들어낸다. 캐주얼한 룩은 물론, 무대 의상에도 매치하면서 <b>선글라스</b> 하나로 분위기를 전환하기도.... ","Wed, 20 Aug 2025 14:29:00 +0900"
"'확 달라진' 황재근, &quot;단추 한개만 잠궈줄래?&quot; 풀어헤친 레오파드 셔츠",http://www.osen.co.kr/article/G1112742953,https://m.entertain.naver.com/article/109/0005476553,"공개된 사진 속 그는 과감하게 풀어헤친 레오파드 셔츠에 블랙 비니, <b>틴트 선글라스</b>를 매치해 특유의 ‘황재근표 카리스마’를 완성했다. 가슴 라인을 드러낸 과감한 스타일링과 여유로운 표정, 그리고 “그래서 단추... ","Wed, 11 Feb 2026 10:42:00 +0900"
"김옥빈, 더 어려보이는 아이스크림 사랑! <b>틴트 선글라스</b> 쓰고 시크한 매...",https://www.mk.co.kr/article/11121367,https://m.entertain.naver.com/article/410/0001024587,김옥빈이 <b>틴트 선글라스</b>를 쓰고 시크한 매력을 발산해 눈길을 끌었다. 배우 김옥빈이 20일 자신의 인스타그램을 통해 “너 왜 얼굴만해? #밥대신아이스크림”이라는 문구와 함께 여러 장의 사진을 공개했다. 사진 속... ,"Sun, 22 Sep 2024 06:41:00 +0900"
"&lt;굿뉴스&gt; 변성현 감독과 배우 설경구, 홍경, 류승범 화보와 인터뷰 #2 배...",https://www.marieclairekorea.com/celebrity/2025/11/good-news-bad-world-actors/?utm_source=naver&utm_medium=partnership,https://www.marieclairekorea.com/celebrity/2025/11/good-news-bad-world-actors/?utm_source=naver&utm_medium=partnership,"블랙 롱 코트, 실버 팬츠 모두 Kimseoryong Homme, 앵클부츠 Jimmy Choo, <b>틴트 선글라스</b> Gentle Monster, 링 Repossi, 슬리브리스 톱은 스타일리스트 소장품. 승범 배우님은 아직 영화를 못 보셨죠. 경구 배우님, 경 배우님이 각각... ","Tue, 11 Nov 2025 10:02:00 +0900"
힙한 <b>선글라스</b>가 5만원? 오프라인 뛰어든 ‘K-아이웨어’ [언박싱],https://biz.heraldcorp.com/article/10537736?ref=naver,https://n.news.naver.com/mnews/article/016/0002503647?sid=101,"반무테부터 뿔테 안경, 안경알이 노란 <b>틴트 선글라스</b>까지 다양한 색감과 디자인의 제품들이 진열됐다. 가격은 4만9900원, 6만9900원 등 개당 5~7만원 수준으로 저렴한 편이었다. 매장 내부는 젊은 고객부터 외국인... ","Wed, 23 Jul 2025 10:09:00 +0900"
제니의 코첼라 <b>선글라스</b>가 특별한 이유,https://www.elle.co.kr/article/1880669,https://www.elle.co.kr/article/1880669,"브라운 <b>틴트 선글라스</b>와 볼캡의 조화는 블랙 탱크톱과 쇼츠, 가볍게 걸친 셔츠 룩에 결정적인 악센트가 되어주죠. 컬러 선글라스를 연출할 때에는 룩은 캐주얼하게 힘을 빼는 것이 중요합니다. @_zyozyo 하이킹 중인... ","Thu, 24 Apr 2025 11:26:00 +0900"
"김혜수, <b>선글라스</b>를 다리에 걸었다…여름을 걷는 사람의 각선미",https://www.mk.co.kr/article/11362065,https://m.entertain.naver.com/article/410/0001077583,"<b>선글라스</b>의 진한 레드 <b>틴트</b>는 다리의 곡선을 감싸며 마치 액세서리처럼 기능했고, 의도되지 않은 듯 세련됐다. 두 번째 컷은 테라스 위 김혜수였다. 짙은 데님 셔츠에 반바지, 그리고 복슬복슬한 슬리퍼. 허리를 강조한... ","Tue, 08 Jul 2025 06:37:00 +0900"
"방탄소년단 제이홉, 호피 <b>선글라스</b> 유행시키나? 공항에 뜬 러블리 톰보...",https://www.newsen.com/news_view.php?uid=202505231541460810,https://m.entertain.naver.com/article/609/0000990323,"제이홉은 이날 평소 즐겨 착용하는 <b>틴트 선글라스</b>를 호피무늬 디자인으로 착용해 강렬한 매력으로 시선을 모았다. 한편, 제이홉은 오는 6월 13~14일 고양시 일산서구 고양종합운동장 주경기장에서 월드투어 앙코르... ","Fri, 23 May 2025 16:25:00 +0900"
