title,link,image,lprice,hprice,mallName,productId,productType,brand,maker,category1,category2,category3,category4
오버사이즈 가벼운 블랙 브라운 블루 <b>틴트 선글라스</b> 빅프레임 파인더 뿔테 자외선차단,https://smartstore.naver.com/main/products/9906358103,https://shopping-phinf.pstatic.net/main_8745086/87450860376.8.jpg,16900,,2DITOR 투디터,87450860376,2,투디터,,패션잡화,선글라스/안경테,선글라스,
젠틀몬스터 선글라스 릴리트 01 BR 사각 가벼운 뿔테 남자 여자 커플 <b>틴트선글라스</b>,https://smartstore.naver.com/main/products/592624735,https://shopping-phinf.pstatic.net/main_1079047/10790470475.16.jpg,269000,,핫선글라스,10790470475,2,젠틀몬스터,젠틀몬스터,패션잡화,선글라스/안경테,선글라스,
레이밴선글라스 2140 <b>틴트선글라스</b> 변색렌즈 RayBan WAYFARER 웨이페어러 2132,https://smartstore.naver.com/main/products/5186876038,https://shopping-phinf.pstatic.net/main_8273139/82731397370.2.jpg,191200,,FACEDRESS,82731397370,2,레이밴,레이밴,패션잡화,선글라스/안경테,선글라스,
레이벤 <b>선글라스</b> RB4259F RB4258F 가벼운 뿔테 남자 여자 자외선차단 아시안핏,https://smartstore.naver.com/main/products/6123642975,https://shopping-phinf.pstatic.net/main_8366814/83668142463.3.jpg,181640,,아이템 선글라스,83668142463,2,레이밴,룩소티카,패션잡화,선글라스/안경테,선글라스,
젠틀몬스터 레이디랭 LADY LANG 사각 뿔테 플랫바 남자 여자 오버사이즈 <b>틴트선글라스</b>,https://smartstore.naver.com/main/products/640504331,https://shopping-phinf.pstatic.net/main_1096204/10962045088.20.jpg,289000,,핫선글라스,10962045088,2,젠틀몬스터,젠틀몬스터,패션잡화,선글라스/안경테,선글라스,
젠틀몬스터 선글라스 릴리트 01 BR 브라운 <b>틴트선글라스</b> 사각 뿔테 연예인 남자 여자 커플,https://smartstore.naver.com/main/products/6236461900,https://shopping-phinf.pstatic.net/main_8378096/83780964389.14.jpg,269000,,오마이선글라스 코리아,83780964389,2,젠틀몬스터,젠틀몬스터,패션잡화,선글라스/안경테,선글라스,
리에티 ALDO 2색상 <b>틴트선글라스</b> 편광 플랫,https://smartstore.naver.com/main/products/8488971579,https://shopping-phinf.pstatic.net/main_8603347/86033471902.24.jpg,37800,,리에티 RIETI,86033471902,2,리에티,리에티,패션잡화,선글라스/안경테,선글라스,
셀린느선글라스 지디 핑크 <b>틴트선글라스</b> CELINE CL40287U,https://smartstore.naver.com/main/products/12948250762,https://shopping-phinf.pstatic.net/main_9049276/90492761772.jpg,549000,,FACEDRESS,90492761772,2,셀린느,셀린느,패션잡화,선글라스/안경테,선글라스,
레이밴 <b>틴트</b>렌즈 <b>선글라스</b> RB4260D 601,https://search.shopping.naver.com/catalog/55501204117,https://shopping-phinf.pstatic.net/main_5550120/55501204117.20250807095349.jpg,26400,,네이버,55501204117,1,레이밴,룩소티카,패션잡화,선글라스/안경테,선글라스,
편광 <b>선글라스</b> <b>틴트</b> 패션 여자 남자,https://smartstore.naver.com/main/products/4296935803,https://shopping-phinf.pstatic.net/main_8184145/81841457684.2.jpg,17500,,2DITOR 투디터,81841457684,2,투디터,,패션잡화,선글라스/안경테,선글라스,
