title,originallink,link,description,pubDate
"일상부터 여행까지, 투명 <b>뿔테 선글라스</b>로 준비하는 여름 휴가 스타일링",https://www.slist.kr/news/articleView.html?idxno=656070,https://www.slist.kr/news/articleView.html?idxno=656070,"사진=룩옵티컬, 위크엔드 막스마라, 레페토 투명 <b>뿔테 선글라스</b>를 도시에서 세련되게 활용하려면, 모노톤과 미니멀 실루엣을 베이스로 스타일링 하는 것이 핵심이다. 실버, 블랙 계열 렌즈와 투명 프레임은 피부를 깨끗하게... ","Mon, 30 Jun 2025 20:38:00 +0900"
"가을 패션 완성은 <b>선글라스</b>! 로제, 강민경, 김나영이 선택한 오벌 선글...",https://www.harpersbazaar.co.kr/article/1888857,https://www.harpersbazaar.co.kr/article/1888857,"은은하게 빛나는 틴티드 렌즈와 가로로 긴 오벌 디자인, 군더더기 없이 깔끔한 블랙 <b>뿔테</b>의 <b>선글라스</b>는 올가을 유행하는 어떤 룩과도 자연스럽게 어울리며 존재감 넘치는 스타일을 완성시켜주니, 더 늦기 전에 오벌... ","Tue, 30 Sep 2025 17:30:00 +0900"
[온누리]<b>선글라스</b>도 수명이 있다? 오래 착용할 수 있는 <b>선글라스</b> 관리법,http://sjbnews.com/news/news.php?number=854147,http://sjbnews.com/news/news.php?number=854147,"특히 플라스틱 재질, 일명 <b>뿔테</b> 소재의 <b>선글라스</b>는 열에 취약해 고온에 노출되면 변형이 크게 발생할 수 있다. 렌즈의 변형은 상의 왜곡 발생, 테의 변형은 착용감을 저하시키는 원인이 될 수 있다. 또한 직사광선과... ","Wed, 02 Jul 2025 19:20:00 +0900"
"으뜸플러스안경 부산남포점, 오픈 7주년 기념 '역대급 할인' 행사 진행",https://www.livesnews.com/news/article.html?no=59381,https://www.livesnews.com/news/article.html?no=59381,"먼저 안경테와 <b>선글라스</b> 라인업을 역대 할인 수준으로 구성했다. ▲국산 TR <b>뿔테</b>, ▲스텝원 안경테를 할인된 가격에 제공한다. 이외에도 ▲로베라 안경테(80% 할인) ▲아케아 안경테(84% 할인) 등 다양한 하우스 브랜드... ","Tue, 10 Feb 2026 09:02:00 +0900"
"나인어코드, 삼성 라이온즈와 역대급 콜라보로 '고글 <b>선글라스</b>' 선보여",https://www.mhns.co.kr/news/articleView.html?idxno=717620,https://www.mhns.co.kr/news/articleView.html?idxno=717620,3종 선글라스 중 'ELDORADO(엘도라도)'는 고글 선글라스인 듯 패션 선글라스인 듯한 <b>뿔테 선글라스</b>로 고글 선글라스가 부담스러운 분들도 착용할 수 있도록 가장 패션 선글라스에 가깝도록 디자인한 아이웨어이다. 또한 BLUE... ,"Wed, 11 Jun 2025 13:30:00 +0900"
쨍하고 해 뜬 날 틴티드 <b>선글라스</b>,https://woman.donga.com/3/all/12/5641645/1,https://woman.donga.com/3/all/12/5641645/1,이루는 <b>뿔테 선글라스</b>에 산뜻한 그린 컬러 트레이닝팬츠를 매치한 패션 인플루언서 린다 역시 틴티드 선글라스를 활용한 현실적인 스타일링의 좋은 예다. Modern Chic 틴티드 선글라스가 캐주얼 무드에만 어울릴 거라는... ,"Mon, 09 Jun 2025 09:02:00 +0900"
"나인어코드·삼성라이온즈, 고글 <b>선글라스</b> 3종 콜라보 굿즈 출시",https://www.gokorea.kr/news/articleView.html?idxno=828179,https://www.gokorea.kr/news/articleView.html?idxno=828179,"<b>뿔테 선글라스</b> 'ELDORADO', 고글형 선글라스 'BLUE BLOOD', 빅사이즈 고글 선글라스 디자인의 'KING' 선글라스 총 3가지로 출시됐다. 나인어코드는 클래식함을 기반으로 그 이상의 감성을 담아내기 위해 다양한 도전으로 매년... ","Thu, 29 May 2025 12:26:00 +0900"
"마노모스, 25 S/S 네이처 컬렉션 신상 <b>선글라스</b> 5종 출시",https://www.ziksir.com/news/articleView.html?idxno=83893,https://www.ziksir.com/news/articleView.html?idxno=83893,"네이처 컬렉션은 아세테이트 소재의 <b>뿔테</b> 라인 <b>선글라스</b> 비치, 우디, 로키와 메탈·아세테이트가 믹스된 플랫 라인의 <b>선글라스</b> 해일과 라바 총 5종의 <b>선글라스</b>로 구성돼 있다. 트렌디하고 스퀘어 실루엣의 오버사이즈... ","Wed, 05 Mar 2025 17:12:00 +0900"
"마노모스, 2025 SS 시즌 자연을 담은 네이처 컬렉션 <b>선글라스</b> 5종 출시",https://www.thepublic.kr/news/articleView.html?idxno=252743,https://www.thepublic.kr/news/articleView.html?idxno=252743,"네이처 컬렉션은 아세테이트 소재의 <b>뿔테</b> 라인 <b>선글라스</b> 비치, 우디, 로키와 메탈과 아세테이트가 믹스된 플랫 라인의 <b>선글라스</b> 해일과 라바 총 5종의 <b>선글라스</b>로 구성돼 있다. 트렌디하고 스퀘어 실루엣의... ","Wed, 05 Mar 2025 15:12:00 +0900"
"마노모스, SS 시즌 네이처 컬렉션 신상 <b>선글라스</b> 5종 공개",https://www.slist.kr/news/articleView.html?idxno=624359,https://www.slist.kr/news/articleView.html?idxno=624359,"사진=마노모스 네이처 컬렉션은 아세테이트 소재의 <b>뿔테</b> 라인 <b>선글라스</b> 비치, 우디, 로키와 메탈과 아세테이트가 믹스된 플랫 라인의 <b>선글라스</b> 해일과 라바 총 5종의 <b>선글라스</b>로 구성돼 있다. 트렌디하고 스퀘어 실루엣의... ","Wed, 05 Mar 2025 20:00:00 +0900"
