period,ratio
2025-02-13,91.95248
2025-02-14,86.53724
2025-02-15,83.42871
2025-02-16,91.53353
2025-02-17,100.0
2025-02-18,98.53255
2025-02-19,97.01166
2025-02-20,93.20919
2025-02-21,90.36985
2025-02-22,85.60334
2025-02-23,93.4121
2025-02-24,99.78612
2025-02-25,95.4467
2025-02-26,95.26425
2025-02-27,89.99621
2025-02-28,81.70009
2025-03-01,82.82122
2025-03-02,87.80524
2025-03-03,95.22114
2025-03-04,94.77657
2025-03-05,92.71263
2025-03-06,90.82562
2025-03-07,85.20839
2025-03-08,83.83564
2025-03-09,90.19977
2025-03-10,96.19916
2025-03-11,94.1641
2025-03-12,92.91253
2025-03-13,88.93714
2025-03-14,82.535
2025-03-15,80.159
2025-03-16,89.13835
2025-03-17,95.88634
2025-03-18,93.96519
2025-03-19,90.73145
2025-03-20,85.45738
2025-03-21,75.32159
2025-03-22,77.90027
2025-03-23,86.75678
2025-03-24,93.58558
2025-03-25,88.27296
2025-03-26,83.76251
2025-03-27,84.19635
2025-03-28,75.2773
2025-03-29,73.60737
2025-03-30,78.40419
2025-03-31,86.51537
2025-04-01,88.99576
2025-04-02,89.94796
2025-04-03,87.54731
2025-04-04,80.3441
2025-04-05,82.21311
2025-04-06,84.52869
2025-04-07,92.4274
2025-04-08,92.02953
2025-04-09,89.86138
2025-04-10,87.54515
2025-04-11,83.42448
2025-04-12,80.98629
2025-04-13,87.76174
2025-04-14,94.87316
2025-04-15,91.9062
2025-04-16,88.21676
2025-04-17,86.57901
2025-04-18,81.37567
2025-04-19,78.54292
2025-04-20,81.81554
2025-04-21,92.80088
2025-04-22,94.16581
2025-04-23,85.9541
2025-04-24,82.18804
2025-04-25,75.95817
2025-04-26,70.02232
2025-04-27,77.23871
2025-04-28,83.9215
2025-04-29,81.20461
2025-04-30,75.87857
2025-05-01,77.51864
2025-05-02,72.26356
2025-05-03,71.02047
2025-05-04,69.56946
2025-05-05,73.34508
2025-05-06,80.27098
2025-05-07,84.89625
2025-05-08,82.01959
2025-05-09,81.68565
2025-05-10,76.31833
2025-05-11,79.64994
2025-05-12,85.63535
2025-05-13,82.29373
2025-05-14,81.79069
2025-05-15,79.96244
2025-05-16,77.43354
2025-05-17,70.00716
2025-05-18,73.6383
2025-05-19,82.1192
2025-05-20,87.20368
2025-05-21,94.83166
2025-05-22,87.54642
2025-05-23,76.38524
2025-05-24,69.90903
2025-05-25,73.22662
2025-05-26,82.42525
